Gender,GivenName,MiddleInitial,Surname,City,State
female,Ines,J,Urner,HOF,Upper Austria
male,Sven,B,Ackermann,ALTENMARKT IM PONGAU,Salzburg
male,Dominik,S,Keller,GLANZ,Styria
male,Ralf,K,Beckenbauer,HANNERSDORF,Burgenland
male,Stefan,S,Lange,STÖTTEN,Upper Austria
female,Gabriele,C,Foerster,UNTERSTETTEN,Upper Austria
female,Manuela,K,Herzog,RITTHAM,Upper Austria
female,Katrin,R,Mayer,SCHAUFEL,Lower Austria
female,Marie,J,Weisz,ANNAROTTE,Lower Austria
female,Sophia,T,Naumann,KRAIMS,Upper Austria
female,Sabrina,K,Reinhard,PETSCHNITZEN,Carinthia
female,Anne,M,Bumgarner,KLEINREICHENBACH,Lower Austria
male,Daniel,A,Bach,DÜRNBERG,Styria
male,Dennis,S,Freytag,HEITZENBERG,Upper Austria
female,Marina,L,Dresdner,TOBELBAD,Styria
male,Andreas,M,Schmitz,HOBERSDORF,Lower Austria
male,Marko,A,Braun,GRAZ,Styria
female,Silke,E,Adler,PURK,Lower Austria
male,Stephan,N,Grunewald,KREGGAB,Carinthia
male,Sven,U,Eberhart,EISENGÖRING,Upper Austria
male,Dieter,L,Koertig,WEISSENEGGERBERG,Carinthia
female,Jessica,U,Weiß,ESCHENAU,Lower Austria
male,Thorsten,P,Durr,UNTERPICHLING,Carinthia
female,Petra,B,Kruger,GARANAS,Styria
female,Leah,M,Wechsler,MITTERBACH,Lower Austria
male,Felix,U,Pfeffer,NIEDERHOFSTETTEN,Lower Austria
male,Phillipp,S,Schulze,GSCHNARRET,Upper Austria
male,Sven,K,Finkel,NEU-GEROLDING,Lower Austria
female,Jana,B,Winkel,MITTEWALD,Tyrol
female,Karin,A,Schuhmacher,FLÖRLPLAIN,Upper Austria
female,Sabrina,D,Bayer,MANNSWÖRTH,Vienna
female,Sabrina,S,Holzman,KRAA,Carinthia
male,Ralf,M,Fruehauf,BAUMGARTEN,Upper Austria
