Gender,GivenName,MiddleInitial,Surname,City,State
male,Thomas,L,Paton,MCEWENS BEACH,QLD
male,Christian,C,Love,BARWITE,VIC
male,Lucas,G,Humphery,MOORES POCKET,QLD
male,Hudson,R,Clisby,ABERMAIN,NSW
female,Claire,Z,Maynard,HAMMONDVILLE,NSW
male,Hudson,L,Connelly,CHARTWELL,VIC
male,Brock,E,Payne,GENTLE ANNIE,VIC
male,Jeremy,H,Edmondson,POINT GREY,WA
male,Ali,I,Bower,WESTCOURT,QLD
male,Marcus,L,Rayment,YAMBULLA,NSW
male,Ryan,H,Smerd,WINGFIELD,SA
female,Abby,C,Newcomb,GIRRAWHEEN,WA
male,Justin,J,Riddoch,RAGLAN,VIC
male,Ryder,Z,Traill,CASINO,NSW
male,Ashton,A,Laffer,HENTY,NSW
male,Logan,M,Toohey,GRANITE VALE,QLD
male,Jaxon,V,Labilliere,GURRANANG,NSW
female,Alicia,E,Birchell,BROWNMORE,NSW
male,Jordan,S,Wray,OBANVALE,NSW
male,George,Z,Gerstaecker,MOUNT SEAVIEW,NSW
female,Sara,T,Hopetoun,MARLBOROUGH,QLD
female,Lilly,G,Sorlie,DEVON PARK,SA
male,James,I,O'Loghlen,STIRLING,ACT
female,Amy,L,Sisley,MANLY,QLD
male,Seth,K,Knorr,DEREEL,VIC
male,Daniel,S,Ronan,LERIDA,NSW
female,Kayla,M,Eve,MOERLONG,SA
male,Dylan,B,Renard,UPPER RYANS CREEK,VIC
male,Bailey,E,Lardner,KELLERBERRIN,WA
male,Owen,S,Gottschalk,AVENEL,VIC
male,Hayden,M,Milliner,HAMPTON PARK,VIC
male,Harrison,M,Harding,LAPSTONE,NSW
male,Andrew,V,Francis,NANGEENAN,WA
male,Brodie,T,Kingsley,LISLE,TAS
male,Archer,E,Sanderson,LAL LAL,VIC
male,Jeremy,I,Tisdall,TATURA,VIC
male,Marcus,L,Bracy,KYEEMA,SA
male,Finn,L,Hanslow,COOMBABAH,QLD
female,Grace,C,Glossop,RISDON VALE,TAS
male,Hunter,K,Skillen,TANGLEWOOD,NSW
female,Tayla,J,Stead,GATESHEAD,NSW
male,Hugo,C,Eva,CHATSWORTH,QLD
male,Mitchell,A,Moorhouse,SHEPPARTON NORTH,VIC
male,Hudson,A,Bethune,REGANS FORD,WA
female,Jade,A,Perkin,GABBADAH,WA
male,Tyson,M,Redmond,SALTWATER RIVER,TAS
female,Amelia,C,Were,RYDALMERE,NSW
male,Aidan,P,Fizelle,CHAFFEY,SA
female,Annabelle,A,Baldwin,URANA,NSW
male,Luca,S,Boland,ALBANVALE,VIC
male,Lincoln,G,Hanigan,TARRAGINDI,QLD
male,John,A,Lawes,ELLANGOWAN,QLD
male,Hugo,A,Oppen,THE BLUFF,QLD
female,Sarah,T,Everingham,SANDY BEACH,NSW
male,Lucas,K,Carandini,EVERTON HILLS,QLD
female,Leah,M,Govett,BONYTHON,SA
male,Christopher,N,Barry,NORAH HEAD,NSW
male,Jayden,I,Scobie,WHITTINGTON,VIC
male,Tristan,D,Cottee,RIVERSLEA,VIC
female,Eliza,D,Martens,CRAIGIE,NSW
male,Tyler,P,Michaelis,PARK ORCHARDS,VIC
female,Phoebe,A,Boswell,HOPE VALLEY,WA
female,Zara,L,Szabados,CASHMERE,QLD
male,Joseph,L,Ride,DURHAM OX,VIC
female,Ella,A,Neil,ALFREDTOWN,NSW
female,Sarah,D,Leist,WAGAMAN,NT
male,Dean,N,Laffer,FRENCHMANS,VIC
male,David,S,Holloway,BLACK RANGE,NSW
male,Declan,B,Gannon,KARAAK FLAT,NSW
male,Jack,M,Bosanquet,MITIAMO,VIC
male,Lincoln,C,Vial,BAREENA,VIC
male,Luke,I,McCready,WARKWORTH,NSW
male,Hugo,B,Barrett,LINDEN PARK,SA
male,Seth,K,Jorgensen,DIRRANBANDI,QLD
female,Victoria,J,Cross,COORPAROO DC,QLD
male,Zane,M,Halford,SWAN MARSH,VIC
male,James,C,Rounsevell,ALLIGATOR CREEK,QLD
female,Caitlyn,B,Ding,AVOCA,VIC
male,Jett,B,Bamford,MILLICENT,SA
female,Leah,H,Barrenger,VINEYARD,NSW
male,Luke,A,Fairthorne,LOWER PLENTY,VIC
female,Scarlett,M,Macansh,DOUBLEVIEW,WA
female,Lilian,C,Cuper,BRAYBROOK,VIC
male,Rory,I,Strange,MARYS MOUNT,NSW
male,Jake,E,Boxer,COBBS HILL,QLD
female,Zoe,B,Gutteridge,UWORRA,SA
male,Ashton,L,De Maistre,MOOMIN,QLD
male,Oliver,T,Leeson,GRESFORD,NSW
male,Joseph,S,Eather,CAVENDISH,VIC
male,Jai,L,Rickard,CLYDE,VIC
male,Cooper,S,Micklem,DENNES POINT,TAS
male,Aiden,M,Peach,FLOREY,ACT
female,Poppy,J,Cash,WARATAH,TAS
male,Jordan,B,Ride,NORTH SYDNEY,NSW
male,Archer,M,Samuels,GOONELLABAH,NSW
male,Tyler,P,Schardt,MOODY,SA
male,Tyson,R,Rankin,ABINGDON DOWNS,QLD
male,Brock,L,Mehaffey,PROSPECT WEST,SA
female,Leah,O,Treloar,CARROWBROOK,NSW
male,Alex,A,Coe,LIDCOMBE NORTH,NSW
male,Jaxon,E,McCombie,CLEAR LAKE,VIC
male,Dylan,C,Carr-Glyn,NORTH LAKE,WA
male,Adam,T,Howell-Price,LOY YANG,VIC
male,Joseph,M,Magoffin,WONGLEPONG,QLD
male,Toby,A,Elliot,TAMBO CROSSING,VIC
male,Bailey,A,Sloane,GILLINGARRA,WA
female,Bethany,H,Lazzarini,JITARNING,WA
male,Rory,K,McGuigan,WIVENHOE POCKET,QLD
male,Levi,S,Radecki,ROPES CROSSING,NSW
male,Tristan,A,Freehill,POLISBET,VIC
male,Charlie,A,Ligar,MCKEES HILL,NSW
male,Angus,I,Fauchery,KATHERINE,NT
male,Aaron,S,McKinnon,OWENS GAP,NSW
male,Darcy,I,Ruwolt,TOLGA,QLD
male,Jaxon,S,Morgans,COLLEGE VIEW,QLD
male,Aiden,A,Van Otterloo,TOIBERRY,TAS
male,Cooper,L,Theodore,MAYFIELD NORTH,NSW
male,Cooper,A,Barff,NORTHGATE MC,QLD
male,Aiden,E,Langley,WANTIOOL,NSW
male,Brodie,I,Hardacre,HARGRAVES,NSW
male,Connor,A,Moonlight,PEGARAH,TAS
male,Anthony,L,Madigan,SNOWY PLAIN,NSW
male,Finn,M,Weindorfer,ENSAY NORTH,VIC
male,Max,J,Yip,MORUYA HEADS,NSW
female,Alannah,T,Snelling,FERNDALE,WA
male,Austin,N,Kinross,CROMER,NSW
male,John,M,Angel,AGERY,SA
male,Oliver,M,Cullen,NEW CHUM,QLD
female,Brooke,E,McLachlan,MARTIN,WA
male,Zac,S,Boucaut,RIVER RANCH,QLD
female,Kaitlyn,N,Rose,BANKSIA PARK,SA
male,Samuel,C,McFarlane,PORT BONYTHON,SA
male,Ali,B,Glenny,BERRAMBOOL,NSW
male,Brodie,T,Metters,NORTH CASINO,NSW
male,David,P,Brenan,LITTLE WOBBY,NSW
male,Max,E,Catani,RUNAWAY BAY,QLD
male,Owen,O,Nguyen,NERANG BC,QLD
male,Brock,M,Goold-Adams,WANDEARAH WEST,SA
male,Finn,R,McPherson,KINGSFORD,SA
female,Kayla,J,Skillen,GOLDEN SQUARE,VIC
female,Kiara,B,Rosevear,HANNANS,WA
male,Rory,M,Lamb,MANYUNG,QLD
male,Lachlan,K,Mackenzie,ZEERUST,VIC
male,Henry,E,Burford,YETMAN,NSW
male,Timothy,L,Harding,DOCKLANDS,VIC
male,Toby,L,Noskowski,SUTTON,NSW
male,Hayden,T,Newman,PADDYS FLAT,NSW
female,Bethany,C,Turley,TREGEAR,NSW
male,David,C,Goninan,SMITHS BEACH,VIC
female,Chloe,B,Small,LAHARUM,VIC
male,Mitchell,M,Tighe,KORIELLA,VIC
male,Ryan,B,Gleeson,LONDONDERRY,NSW
male,Nathan,T,Heidenreich,HAVELOCK,VIC
male,Henry,M,Farleigh,DUTTON,SA
female,Emma,C,Bluett,WATERVIEW HEIGHTS,NSW
male,Patrick,A,McConnell,LAVERTON NORTH,VIC
female,Matilda,J,Chan,YOLLA,TAS
male,Gabriel,S,Galvin,DAIRYMANS PLAINS,NSW
female,Chelsea,C,Piquet,FOREST CREEK,QLD
female,Lara,A,Stacy,OOLONG,NSW
male,Hudson,M,Krimmer,BIBRA LAKE,WA
male,Jett,O,Symons,BOX HILL,NSW
male,Samuel,B,Bannan,CONDOWIE,SA
female,Molly,C,Handfield,WALTER HILL,QLD
female,Makayla,A,Brunning,KARAMA,NT
male,Hugo,I,Verjus,LOCHIEL,SA
female,Lola,A,Simonov,MILDURA EAST,VIC
male,Andrew,C,Gilfillan,MOOREBANK,NSW
male,Jett,S,Francis,OTFORD,NSW
male,Charles,M,Deschamps,CUNDLE FLAT,NSW
female,Stephanie,A,Horne,TRENTHAM CLIFFS,NSW
male,Tyler,M,Tullipan,EMERALD,QLD
male,Jacob,B,Hipkiss,TINPOT,NSW
male,Aaron,A,McGuffog,ROCKY POINT,VIC
male,Julian,M,Winn,SOUTHLAND CENTRE,VIC
male,Elijah,G,Ritchie,D'ESTREES BAY,SA
male,Xavier,R,Sherwin,STIRLING,ACT
male,Austin,L,Stuckey,MYSTERTON,QLD
male,Noah,C,Brady,YOGANUP,WA
female,Gemma,J,Linger,KURRENKUTTEN,WA
male,Brock,A,Litchfield,YORKLEA,NSW
female,Savannah,J,Cronin,BARABBA,SA
