GivenName,MiddleInitial,Surname,City,State
Lucas,O,Gauvin,Emelgem,VWV
Jewel,I,Dionne,Villers-Sainte-Gertrude,WHT
Naouar,F,Mossel,Waret-l'Evêque,WLG
Fletcher,M,Bernard,Mariembourg,WNA
Kilian,G,Verver,Bierbeek,VBR
Gemma,P,Caouette,Zoersel,VAN
Damiane,N,Martin,Zele,VOV
Renee,T,Vendrig,Ronsele,VOV
Paul,M,Barjavel,Omal,WLG
Amélie,A,Gabriaux,Neerglabbeek,VLI
Kaoutar,A,Kloppenburg,Ghislenghien,WHT
Vallis,C,Giguère,Wez-Velvain,WHT
Hong,C,Cleven,Kemexhe,WLG
Suzana,R,Sombroek,Lillo,VAN
Azura,P,Flamand,Nalinnes,WLX
Germain,L,Létourneau,Fontaine-Valmont,WLX
Moore,F,Bussière,Landelies,WLX
Millard,M,Auberjonois,Meigem,VOV
Sikko,R,Huiskamp,Hoeselt,VLI
Endy,W,Venema,Hornu,WHT
Mavise,I,Paiement,Lint,VAN
Luc,D,Bériault,Steenhuize-Wijnhuize,VOV
Neville,D,Lapointe,Haine-Saint-Pierre,WHT
Jessi,D,Frantzen,Huldenberg,VBR
Joos,S,Dijk,Zoerle-Parwijs,VAN
Victor,J,Bérubé,Proven,VWV
Lucius,L,Hiddink,Peer,VLI
Shivanie,V,van Bruggen,Guirsch,WHT
Suradj,T,Hanekamp,St-Gillis-bij-Dendermonde,VOV
Ernst-Jan,C,Zielman,Houthalen,VLI
Yash,N,van de Giessen,Villers-Deux-Eglises,WNA
Édouard,J,Sansouci,Châtelet,WLX
Nusret,E,Beks,Haut-le-Wastia,WNA
Dreux,C,Joly,Nederokkerzeel,VBR
Evrard,B,Bélair,Ucimont,WHT
Arsalan,A,Hoevenaars,Lier,VAN
Resy,Y,Buitink,Seloignes,WLX
Ogier,D,Reault,Dessel,VAN
Mickel,A,Spanjers,Petegem-aan-de-Schelde,VOV
Jelte,G,Trommelen,Saint-Symphorien,WHT
Ilyass,C,Luijks,Heer,WNA
Agrican,H,Labossière,Pottes,WHT
Noël,G,Godin,Thulin,WHT
Peppin,N,Bienvenue,Orp-Jauche,WBR
Biko,L,Demirci,Tintigny,WHT
Mesut,R,van Tol,Framont,WHT
Charles,M,Leroy,Oplinter,VBR
Galatee,A,Trépanier,Avennes,WLG
Lokman,S,Houtman,Gougnies,WLX
Christine,R,Gosselin,Celles,WNA
Serana,L,van der Mei,Soulme,WNA
Romijn,L,Offermans,Mater,VOV
Ranger,A,Ducharme,Holsbeek,VBR
Antoine,C,Gaillou,Baillonville,WNA
Guido,S,Elberse,Grand-Rechain,WLG
Renier,R,Jutte,Maarkedal,VOV
Hugues,L,Gour,Joncret,WLX
Maeve,D,Rozendaal,Waarbeke,VOV
Andor,C,Helsloot,Rocherath,WLG
Harcourt,P,Lapresse,Callenelle,WHT
Sébastien,A,Auclair,Knokke-Heist,VWV
Miloud,J,Disseldorp,Overpelt,VLI
Mae,Z,Mourits,Bovenistier,WLG
Evrard,J,Dennis,Tontelange,WHT
Jesper,A,Pirouet,Xhendremael,WLG
Misja,J,Kosten,Munsterbilzen,VLI
Henri,C,Audibert,Ecaussinnes,WHT
Chappell,C,Pouchard,Petegem-aan-de-Schelde,VOV
Avent,L,Martel,Nieuwkapelle,VWV
Govert,E,Rijnen,Wichelen,VOV
Falerina,C,Arnoux,Attenhoven,VBR
Chiel,T,Dijker,Herne,VBR
Aimé,R,Babin,Opheylissem,WBR
Sidney,C,Roussel,Vlezenbeek,VBR
Raymond,Y,Huppé,Ouffet,WLG
Aldert,S,Keuper,Ressegem,VOV
Brooklyn,G,Suiker,Sint-Baafs-Vijve,VWV
Pietro,C,van den Brandt,Geluveld,VWV
Denise,V,Duranseau,Korbeek-Dijle,VBR
Amin,D,Alink,Roksem,VWV
Charles,D,Lepage,Pont-à-Celles,WLX
Dylan,D,Kersten,Nouvelles,WHT
Cosette,A,Laliberté,Hollain,WHT
Nazik,Y,van Buuren,Herentals,VAN
Anoeska,R,Windt,Heikruis,VBR
Jeanne,Z,Chauvet,Tinlot,WLG
