Gender,GivenName,MiddleInitial,Surname,City,State
male,Tomáš,V,Kubánek,Vyšší Brod,Jihočeský kraj
male,Vitalie,D,Blahuta,Bystrice pod Hostýnem 7,Zlínský kraj
male,Lukáš,M,Černík,Pocátky,Kraj Vysočina
male,Patrik,M,Nový,Písek 1,Jihočeský kraj
male,Petr,Z,Mácha,Hostoun u Prahy,Středočeský kraj
male,Petr,G,Kopřiva,Horice v Podkrkonoší,Královéhradecký kraj
female,Silvie,O,Chlumská,Domažlice 1,Plzeňský kraj
female,Jarmila,M,Svobodová,Prachatice,Jihočeský kraj
female,Galyna,J,Soukupová,Kly,Hlavní město Praha
male,Alois,I,Borýsek,Hnevotín,Moravskoslezský kraj
male,Tomáš,K,Šimon,Vysoká u Melníka,Hlavní město Praha
male,Tomáš,I,﻿Novák,Námešt nad Oslavou,Kraj Vysočina
male,Jiří,D,Janík,Stankov,Plzeňský kraj
male,Jaroslav,E,Širůček,Týnec nad Sázavou,Středočeský kraj
male,Roman,S,Soušek,Roudnice nad Labem,Ústecký kraj
male,Martin,M,Veselovský,Horní Planá,Jihočeský kraj
female,Petra,F,Veselá,Litomerice 1,Ústecký kraj
male,Radek,O,Marek,Bojkovice,Zlínský kraj
male,Lukáš,M,Popelka,Melník 1,Hlavní město Praha
male,Tomáš,M,Dolák,Horice v Podkrkonoší,Královéhradecký kraj
male,Václav,M,Korbel,Herálec u Havlíckova Brodu,Kraj Vysočina
male,Jakub,D,Krása,Luže,Pardubický kraj
male,Josef,I,Ševčík,Rudolfov,Jihočeský kraj
male,Josef,J,Kolařík,Ceská Lípa 1,Liberecký kraj
female,Zdenka,V,Tučková,Bruntál 1,Moravskoslezský kraj
female,Lenka,P,Štětková,Nové Mesto na Morave,Kraj Vysočina
female,Martina,M,Janečková,Nasavrky,Pardubický kraj
female,Kristýna,J,Beránková,Libouchec,Ústecký kraj
female,Jana,J,Pešková,Svetlá nad Sázavou,Kraj Vysočina
female,Marie,T,Němcová,Stríbro,Plzeňský kraj
female,Hana,A,Jakubčíková,Strakonice 1,Jihočeský kraj
male,Josef,P,Rambousek,Chotebor,Kraj Vysočina
male,Jiří,R,Dvořák,Rícany u Prahy,Středočeský kraj
male,Vasyl,M,﻿Kučera,Písek 1,Jihočeský kraj
male,David,M,Čermák,Litomerice 1,Ústecký kraj
male,Pavel,V,Kupka,Tišice,Hlavní město Praha
male,Pavel,K,Šťástka,Šlapanice,Středočeský kraj
male,Martin,A,Dostál,Dobrejovice,Středočeský kraj
male,Jan,M,Havel,Horaždovice,Plzeňský kraj
male,Adam,M,Láska,Jicín 1,Královéhradecký kraj
female,Ružena,M,Novotná,Milín,Středočeský kraj
female,Věra,F,Kasalová,Kostelec na Hané,Olomoucký kraj
female,Dagmar,B,Čermáková,Radostín nad Oslavou,Kraj Vysočina
male,Leoš,V,Petrů,Kardašova Recice,Jihočeský kraj
male,Karel,B,﻿Němec,Kaplice 1,Jihočeský kraj
male,David,V,Fišar,Rokycany 1,Plzeňský kraj
male,Michal,N,Hyka,Lhota pod Libcany,Královéhradecký kraj
male,Robert,L,Dvořáček,Lázne Belohrad,Královéhradecký kraj
female,Eliška,V,Marečková,Golcuv Jeníkov,Kraj Vysočina
male,Jan,J,Pařízek,Sudice,Moravskoslezský kraj
