Gender,GivenName,MiddleInitial,Surname,City,State
female,Marie,M,Schweitzer,Gräfenberg,BY
female,Jessica,K,Herz,Fresenburg,NI
male,Klaus,M,Bach,Filsen,RP
female,Manuela,R,Abendroth,Ebermannstadt,BY
female,Julia,P,Hartmann,Elze,NI
male,Mathias,A,Abend,Büren,NW
male,Felix,A,Schwarz,Sankt Johann,RP
male,David,K,Eberhart,Bilsen,SH
female,Anke,R,Meister,Kleinbundenbach,RP
male,Phillipp,S,Bader,Marzhausen,RP
male,Paul,K,Weiß,Klettwitz,BB
male,Torsten,C,Kuster,Plein,RP
male,Florian,D,Bar,Buchbach,TH
male,Bernd,M,Peters,Aachen,NW
male,Patrick,M,Nacht,Brunnthal,BY
male,Mathias,A,Lehmann,Greifenstein,HE
male,Stephan,G,Friedman,Bielefeld Bethel,NW
female,Jessica,M,Nacht,Hofheim,BY
male,Maik,A,Baecker,München,BY
female,Anne,P,Maur,Neuerkirch,RP
male,Martin,S,Schwarz,Dornburg,HE
male,Dieter,K,Freitag,Mönchengladbach Hardterbroich,NW
male,Torsten,M,Ziegler,Bad Kreuznach Ippesheim,RP
male,Stefan,A,Becker,Grattersdorf,BY
male,Lucas,M,Mueller,Wilhelmsthal,BY
female,Stefanie,T,Grunewald,Neukirchen,HE
male,Phillipp,A,Schiffer,Dormagen Gohr,NW
male,Leon,A,Glockner,Espenhain,SN
male,Max,A,Weiß,Böxlund,SH
male,Jonas,M,Beckenbauer,Reisdorf,HE
male,Max,S,Abendroth,Lindenberg,BY
male,Stefan,S,Fassbinder,Hamburg Neuengamme,HH
female,Anna,L,Fassbinder,Horath,RP
male,Steffen,M,Schuster,Damsdorf,SH
female,Jennifer,D,Neudorf,Weiskirchen,TH
male,Mario,K,Ackermann,Paderborn Kernstadt,NW
female,Katrin,B,Schaefer,Meldorf,SH
male,Steffen,A,Beich,Eppelborn,TH
male,Kevin,S,Hueber,Rathenow,BB
male,Philipp,J,Gottlieb,Baden-Baden,BW
male,Andreas,Y,Lemann,Gechingen,BW
male,Dominik,M,Durr,Neumünster,SH
male,Philipp,S,Neudorf,Fischbach-Oberraden,RP
male,Erik,Y,Ackermann,Malgersdorf,BY
female,Manuela,R,Faerber,Illesheim,BY
female,Jessica,U,Frei,Wernberg-Köblitz,BY
male,Steffen,T,Meyer,Großkarolinenfeld,BY
male,Erik,I,Wolf,Wiesbaum,RP
male,Jürgen,K,Hartmann,Lünebach,RP
male,Thomas,B,Fisher,Hamburg Alsterdorf,HH
female,Katja,F,Biermann,Vollmersbach,RP
male,Sven,J,Pfeffer,Osterspai,RP
male,Jens,M,Gottlieb,Mühlhausen,TH
male,Torsten,M,Gaertner,Beetzendorf,ST
male,Klaus,K,Kuester,Leipzig,SN
male,Tom,M,Schäfer,Fürth,BY
male,Torsten,B,Finkel,Olsberg,NW
male,Marco,L,Freitag,Eddelak,SH
male,Torsten,C,Freitag,Breidenbach,HE
female,Martina,M,Koertig,Erfurt,TH
female,Barbara,J,Friedman,Erlangen,BY
male,Patrick,B,Wirth,Neusäß,BY
male,Uwe,A,Fisher,Engelsberg,BY
male,Swen,A,Maur,Friesenheim,RP
male,Sebastian,J,Beyer,Drolshagen,NW
male,Leon,J,Muller,München,BY
male,Matthias,C,Vogler,Dohren,NI
male,Dennis,L,Dresdner,Geisenhausen,BY
female,Mandy,D,Schroder,Oberhausen bei Kirn,RP
female,Christine,J,Mehler,Ebstorf,NI
male,Steffen,J,Baecker,Murnau,BY
female,Heike,M,Schaefer,Lauf,BY
male,Sebastian,A,Blau,Gärtringen,BW
male,Phillipp,K,Schroeder,Düsseldorf Friedrichstadt,NW
male,Ralph,M,Saenger,Wuppertal Elberfeld,NW
female,Jessica,T,Junker,Edling,BY
male,Ulrich,S,König,Worms Wiesoppenheim,RP
male,Jonas,J,Freytag,Volkenschwand,BY
male,Bernd,A,Freytag,Schwerin,MV
male,Klaus,K,Lange,Waldmünchen,BY
female,Christina,M,Koertig,Hamburg Osdorf,HH
male,Uwe,J,Berg,Berlin Buckow,BE
male,Tim,J,Kuefer,Kößlarn,BY
male,David,J,Kortig,Lehrberg,BY
male,Jörg,S,Grunewald,Willingen,RP
male,Dirk,S,Kruger,Marktschellenberg,BY
male,Frank,B,Dietrich,Neunkirchen,TH
female,Vanessa,E,Meier,Pinneberg,SH
male,Daniel,B,Moeller,Schwerin,MV
male,Kevin,S,Koenig,Quirnbach,RP
male,Robert,A,Beyer,Aalen Unterkochen,BW
male,Jonas,L,Faber,Negenborn,NI
female,Kristin,F,Meister,Belg,RP
male,Paul,V,Grunwald,Alzenau,BY
female,Gabriele,W,Schweizer,Pinneberg,SH
male,Eric,C,Wexler,Eberswalde,BB
male,Patrick,I,Kuefer,Geesthacht,SH
female,Ursula,P,Freud,Winnerath,RP
female,Sarah,R,Friedmann,Altweidelbach,RP
male,Swen,K,Krueger,Beesten,NI
male,Benjamin,J,Werfel,Winhöring,BY
male,Jens,L,Durr,Hergenroth,RP
