Gender,GivenName,MiddleInitial,Surname,City,State
male,Andreas,F,Dam,København K,Region Sjælland
male,Lasse,S,Frandsen,København V,Region Sjælland
male,Benjamin,H,Olesen,København K,Region Sjælland
male,Bertram,R,Lauritsen,Frederiksberg C,Region Sjælland
female,Sofia,N,Gregersen,Ølgod,Region Syddanmark
female,Anna,T,Damgaard,København K,Region Sjælland
male,Jacob,S,Dahl,Frederiksberg C,Region Sjælland
female,Anne-Lise,A,Rasmussen,Jystrup Midtsj,Region Sjælland
male,Albert,A,Eriksen,København K,Region Sjælland
female,Frida,F,Jespersen,Jystrup Midtsj,Region Sjælland
male,Dennis,F,Schmidt,Bjert,Region Syddanmark
male,Jesper,K,Mortensen,Sorø,Region Sjælland
female,Liv,C,Damgaard,Maribo,Region Sjælland
male,Peter,M,Lorenzen,København V,Region Sjælland
male,Elias,S,Villadsen,København K,Region Sjælland
male,Joachim,K,Schou,Ugerløse,Region Sjælland
male,Mathias,N,Kruse,Skærbæk,Region Syddanmark
male,Bent,M,Paulsen,Brædstrup,Region Midtjylland
female,Alberte,R,Mogensen,Fakse Ladeplads,Region Sjælland
female,Caroline,N,Frandsen,København V,Region Sjælland
female,Hannah,M,Lassen,Nørre Aaby,Region Syddanmark
male,Philip,N,Nørgaard,København V,Region Sjælland
male,Tristan,C,Bech,Odder,Region Midtjylland
male,August,J,Madsen,København K,Region Sjælland
male,David,K,Kruse,Glostrup,Region Sjælland
male,August,M,Andresen,København K,Region Sjælland
male,Victor,A,Bech,Frederiksberg C,Region Sjælland
male,Mohammad,T,Christoffersen,Fur,Region Nordjylland
male,Marius,M,Madsen,København K,Region Sjælland
female,Michelle,L,Krogh,Kongens Lyngby,Region Sjælland
female,Mette,N,Jakobsen,Frederiksberg C,Region Sjælland
male,Victor,L,Nielsen,København V,Region Sjælland
female,Frida,A,Clausen,København V,Region Sjælland
female,Laura,M,Mortensen,Hinnerup,Region Midtjylland
male,Oscar,A,Bruun,Roskilde,Region Sjælland
female,Louise,O,Kristoffersen,Frederiksberg C,Region Sjælland
male,Anders,N,Poulsen,Hjerm,Region Midtjylland
male,Silas,S,Steffensen,Trige,Region Midtjylland
female,Emilie,O,Nissen,Brovst,Region Nordjylland
female,Sandra,B,Johnsen,Hellerup,Region Sjælland
male,Sebastian,S,Krogh,Løkken,Region Nordjylland
female,Line,C,Knudsen,Esbjerg,Region Syddanmark
male,Marcus,S,Hansen,København V,Region Sjælland
female,Anna,C,Mathiesen,Frederiksberg C,Region Sjælland
female,Lærke,P,Bertelsen,København V,Region Sjælland
female,Kristine,C,Bruun,København V,Region Sjælland
male,Villads,S,Mathiasen,Løgstør,Region Nordjylland
male,Mads,R,Kjeldsen,København V,Region Sjælland
male,Martin,A,Lind,Hørsholm,Region Sjælland
female,Ella,C,Møller,Tilst,Region Midtjylland
male,Marius,J,Lind,København V,Region Sjælland
male,William,M,Laursen,Bagsværd,Region Sjælland
male,Mathias,E,Jacobsen,København V,Region Sjælland
male,Lucas,A,Dahl,København K,Region Sjælland
female,Olivia,H,Møller,København V,Region Sjælland
male,Benjamin,M,Poulsen,Videbæk,Region Midtjylland
male,Jonathan,L,Christiansen,København V,Region Sjælland
male,Benjamin,A,Klausen,Bælum,Region Nordjylland
male,Morten,L,Lorenzen,København K,Region Sjælland
male,Mathias,S,Olesen,København K,Region Sjælland
female,Sofia,J,Bang,Kongerslev,Region Nordjylland
male,Aksel,F,Henriksen,Frederiksberg C,Region Sjælland
female,Laerke,N,Juhl,København K,Region Sjælland
male,Malthe,F,Gregersen,Brenderup Fyn,Region Syddanmark
male,Jacob,S,Gregersen,Aakirkeby,Region Hovedstaden
male,Elias,T,Rasmussen,Holstebro,Region Midtjylland
female,Rikke,M,Nygaard,Rødvig Stevns,Region Sjælland
male,Marcus,A,Dam,København K,Region Sjælland
male,Adam,S,Kristoffersen,Ebeltoft,Region Midtjylland
