Gender,GivenName,MiddleInitial,Surname,City,State
male,Kaarlo,A,Kettunen,LAHTI,Päijänne Tavastia
male,Pasi,L,Ylönen,LAHTI,Päijänne Tavastia
male,Miika,A,Johanson,JYVÄSKYLÄ,Central Finland
male,Iivari,S,Nummelin,UUSIKAUPUNKI,Varsinais-Suomi
female,Saimi,D,Larivaara,UTSJOKI,Lapland
female,Carola,T,Hatakka,VANTAA,Uusimaa
female,Iines,M,Hurmerinta,SAVONLINNA,Southern Savonia
male,Tuomo,K,Lydman,IMATRA,South Karelia
male,Iiro,T,Sinervo,PYHÄJÄRVI,Northern Ostrobothnia
female,Pirjo,H,Sievinen,TAMPERE,Pirkanmaa
male,Samsa,E,Heinilä,VALTIMO,North Karelia
male,Johannes,K,Päivinen,TAMPERE,Pirkanmaa
female,Elisa,V,Rinne,HELSINKI,Uusimaa
male,Vesa,A,Rissanen,HEINÄVESI,Southern Savonia
female,Outi,J,Nyman,RAUMA,Satakunta
male,Kim,I,Laaksonen,JYVÄSKYLÄ,Central Finland
female,Olga,O,Tuhkasaari,EVIJÄRVI,Southern Ostrobothnia
female,Päivi,S,Kasslin,MUURAME,Central Finland
male,Erno,R,Tuhkasaari,KEMIJÄRVI,Lapland
male,Jyrki,E,Soranen,HAMINA,Kymenlaakso
male,Konsta,A,Hirvonen,KEMPELE,Northern Ostrobothnia
male,Kari,E,Helenius,KUOPIO,Northern Savonia
female,Kati,E,Lindholm,PAIMIO,Varsinais-Suomi
male,Jaakko,I,Salo,LAHTI,Päijänne Tavastia
male,Risto,S,Pusila,VAASA,Ostrobothnia
male,Lalli,K,Lintula,ESPOO,Uusimaa
male,Stefan,H,Haatainen,VESANTO,Northern Savonia
male,Leevi,T,Hietamäki,VÄHÄKYRÖ,Ostrobothnia
male,Daavid,T,Paija,KAJAANI,Kainuu
male,Veli,H,Hård,PORNAINEN,Uusimaa
male,Kaj,T,Piili,TURKU,Varsinais-Suomi
male,Jarmo,J,Uusipaikka,JOENSUU,North Karelia
male,Kai,J,Päivärinta,OULU,Northern Ostrobothnia
male,Petteri,T,Häggman,JYVÄSKYLÄ,Central Finland
female,Tarja,R,Hyvönen,ESPOO,Uusimaa
male,Juuso,P,Uotila,ESPOO,Uusimaa
male,Tommi,H,Jehkinen,ROVANIEMI,Lapland
male,Jussi,T,Putkonen,MUSTASAARI,Ostrobothnia
male,Pekka,S,Enckelman,KIURUVESI,Northern Savonia
female,Reija,A,Yli-Hannuksela,KEMINMAA,Lapland
male,Kari,V,Ahonen,SEINÄJOKI,Southern Ostrobothnia
female,Kirsti,K,Kunnas,IKAALINEN,Pirkanmaa
female,Elisa,A,Savolainen,HELSINKI,Uusimaa
male,Jouko,T,Weckström,IMATRA,South Karelia
male,Vilho,T,Wiljakainen,KOTKA,Kymenlaakso
male,Markku,E,Riipinen,JÄMIJÄRVI,Satakunta
male,Frans,L,Metsälä,TAIVASSALO,Varsinais-Suomi
male,Stefan,T,Vilen,TURKU,Varsinais-Suomi
male,Keijo,Å,Kunnas,OULU,Northern Ostrobothnia
female,Veera,T,Karppinen,SALTVIK,Åland Islands
male,Roope,R,Rautiola,HELSINKI,Uusimaa
male,Samppa,K,Selin,HAAPAVESI,Northern Ostrobothnia
male,Markus,R,Johanson,KUORTANE,Southern Ostrobothnia
female,Anne,I,Karjalainen,ROVANIEMI,Lapland
male,Juho,K,Liukko,VANTAA,Uusimaa
male,Kaj,A,Hänninen,LUVIA,Satakunta
female,Tiia,R,Wahlman,LAHTI,Päijänne Tavastia
male,Jan-Erik,M,Alaja,OULU,Northern Ostrobothnia
male,Oskar,S,Kasslin,KAJAANI,Kainuu
female,Essi,P,Hietalahti,VANTAA,Uusimaa
male,Marco,H,Tolonen,TAMPERE,Pirkanmaa
male,Oskari,P,Myller,ESPOO,Uusimaa
male,Jan,T,Mustonen,ROVANIEMI,Lapland
male,Pontus,P,Kononen,PORVOO,Uusimaa
female,Pauliina,A,Lahtinen,ROVANIEMI,Lapland
female,Anita,K,Hietamies,KANGASALA,Pirkanmaa
male,Tuomo,U,Huovi,VANTAA,Uusimaa
female,Kirsti,I,Häggman,ESPOO,Uusimaa
female,Tarja,J,Riipinen,NASTOLA,Päijänne Tavastia
