Gender,GivenName,MiddleInitial,Surname,City,State
male,Prewitt,A,Quiron,ROMAINVILLE,Île-de-France
male,Aleron,A,Pinneau,SAINT-MALO,Bretagne
male,Denis,A,Tollmache,REZÉ,Pays de la Loire
female,Lotye,B,Sylvain,BESANÇON,Franche-Comté
male,Senapus,I,Hétu,GRENOBLE,Rhône-Alpes
male,Théophile,M,Duclos,MURET,Midi-Pyrénées
male,Neville,D,Caouette,PARIS,Île-de-France
male,Marsilius,L,Laderoute,CERGY,Île-de-France
male,Frontino,E,Doyon,LE PLESSIS-ROBINSON,Île-de-France
female,Cammile,D,Barrette,TOULON,Provence-Alpes-Côte d'Azur
male,Cloridan,H,Souplet,MIRAMAS,Provence-Alpes-Côte d'Azur
male,Channing,L,Charest,ARLES,Provence-Alpes-Côte d'Azur
male,Roslyn,C,Loiselle,VILLEURBANNE,Rhône-Alpes
male,Garland,A,Tisserand,DEUIL-LA-BARRE,Île-de-France
male,Honoré,L,Fournier,NEUILLY-SUR-MARNE,Île-de-France
male,Dominique,M,Aubin,GRASSE,Provence-Alpes-Côte d'Azur
male,Garland,A,Davignon,HERBLAY,Île-de-France
male,Loyal,C,Bienvenue,CENON,Aquitaine
male,Lothair,A,Lamare,SAINT-MARTIN-D'HÈRES,Rhône-Alpes
male,Gaetan,A,LeBatelier,FRESNES,Île-de-France
female,Honore,A,Lussier,LIBOURNE,Aquitaine
male,Vallis,N,Cailot,LE GRAND-QUEVILLY,Haute-Normandie
female,Patrice,G,Jomphe,OLIVET,Centre
male,Arthur,H,Chalifour,PARIS,Île-de-France
female,Éléonore,M,Routhier,ARMENTIÈRES,Nord-Pas-de-Calais
male,Nicholas,M,Hervieux,SAINT-BRIEUC,Bretagne
female,Jeanette,N,Desnoyers,LE MANS,Pays de la Loire
male,Fabrice,L,Hervieux,FRÉJUS,Provence-Alpes-Côte d'Azur
male,Jules,R,Quirion,PRIVAS,Rhône-Alpes
female,Zoé,D,Compagnon,SAINTE-MARIE,Martinique
male,Chandler,O,Migneault,LAON,Picardie
female,Marphisa,G,Blanc,MARSEILLE,Provence-Alpes-Côte d'Azur
male,Rule,H,Dubé,VILLEPINTE,Île-de-France
male,Roger,A,Jodion,BESANÇON,Franche-Comté
female,Adorlee,G,Caouette,CERGY,Île-de-France
female,Annot,F,Bourgeois,CLICHY-SOUS-BOIS,Île-de-France
female,Laurence,G,Bériault,MARTIGUES,Provence-Alpes-Côte d'Azur
male,Tabor,E,Vadeboncoeur,LORMONT,Aquitaine
male,Mallory,B,Lespérance,CLERMONT-FERRAND,Auvergne
male,Mallory,F,Sirois,LES LILAS,Île-de-France
male,Beaufort,F,Beauchesne,SAINT-ÉTIENNE,Rhône-Alpes
male,Roch,A,Monjeau,BIARRITZ,Aquitaine
female,Clarimunda,T,Salois,ORLY,Île-de-France
male,Ganelon,A,Hervé,LE KREMLIN-BICÊTRE,Île-de-France
male,Percy,L,Lambert,LYON,Rhône-Alpes
female,Christelle,T,Charrette,LIMOGES,Limousin
male,Francis,A,Dandonneau,GRIGNY,Île-de-France
male,Agramant,B,Bourassa,PESSAC,Aquitaine
male,Pomeroy,F,Rochefort,SAINT-LOUIS,Alsace
female,Henriette,F,Lemieux,AIX-EN-PROVENCE,Provence-Alpes-Côte d'Azur
male,Gifford,A,Desroches,FRESNES,Île-de-France
male,Bruce,D,Bourdette,STRASBOURG,Alsace
female,Esmeraude,P,Covillon,LE MOULE,Guadeloupe
male,Isaac,G,Poisson,CHÂTELLERAULT,Poitou-Charentes
male,Davet,A,Metivier,DOUAI,Nord-Pas-de-Calais
male,Wyatt,I,Saurel,LE CREUSOT,Bourgogne
male,Forrest,A,Cailot,ARLES,Provence-Alpes-Côte d'Azur
male,Pomeroy,A,Duranseau,TARBES,Midi-Pyrénées
female,Faye,C,Monjeau,VILLENEUVE-SUR-LOT,Aquitaine
female,Corette,G,Labelle,SOISSONS,Picardie
male,Marsilius,Z,Courcelle,HERBLAY,Île-de-France
male,Étienne,S,CinqMars,PARIS,Île-de-France
male,Patrick,J,Bellemare,ORVAULT,Pays de la Loire
male,Beaufort,B,Demers,SAINT-MICHEL-SUR-ORGE,Île-de-France
male,Searlas,V,Narcisse,PARIS,Île-de-France
male,Gano,V,Legault,SCHOELCHER,Martinique
male,Ray,S,Bourque,ANGERS,Pays de la Loire
female,Mavise,F,Pellerin,LE CREUSOT,Bourgogne
male,Auguste,A,Caouette,MARSEILLE,Provence-Alpes-Côte d'Azur
male,Arber,E,Dandonneau,SAINT-POL-SUR-MER,Nord-Pas-de-Calais
male,Joseph,C,Rivard,LE HAVRE,Haute-Normandie
male,Arthur,A,de Chateaub,BEZONS,Île-de-France
male,Onfroi,V,Lespérance,PARIS,Île-de-France
male,Montague,O,Gregoire,COLMAR,Alsace
male,Claude,F,Cartier,ARLES,Provence-Alpes-Côte d'Azur
female,Brigitte,C,Dumoulin,FORT-DE-FRANCE,Martinique
female,Demi,D,Margand,MONTAUBAN,Midi-Pyrénées
male,Alfred,J,Chevrette,LA SEYNE-SUR-MER,Provence-Alpes-Côte d'Azur
female,Laurence,D,Louis,COURBEVOIE,Île-de-France
male,Dominic,L,Ayot,ANNECY,Rhône-Alpes
female,Edmee,P,Bonneville,MARSEILLE,Provence-Alpes-Côte d'Azur
male,Tristan,M,Bolduc,ROSNY-SOUS-BOIS,Île-de-France
female,Yolette,C,Melanson,MARSEILLE,Provence-Alpes-Côte d'Azur
male,Ferragus,A,Fontaine,MONTIGNY-LÈS-METZ,Lorraine
male,Lance,C,Truchon,ORLÉANS,Centre
male,Pierpont,J,Fréchette,LES MUREAUX,Île-de-France
male,Bayard,Y,Duranseau,CHÂTENAY-MALABRY,Île-de-France
male,Senior,M,Trépanier,VALENCIENNES,Nord-Pas-de-Calais
male,Fiacre,C,Rivard,DUNKERQUE,Nord-Pas-de-Calais
male,Henry,L,Adler,SANNOIS,Île-de-France
male,Harbin,M,Cinq-Mars,PARIS,Île-de-France
female,Gemma,O,Guilmette,AMIENS,Picardie
male,Millard,C,Huot,VANVES,Île-de-France
male,Armand,C,Brian,LE GRAND-QUEVILLY,Haute-Normandie
female,Amitee,D,Brisette,CENON,Aquitaine
male,Davet,M,Deschamps,HOUILLES,Île-de-France
male,Matthieu,V,Marcoux,MULHOUSE,Alsace
male,Honoré,I,Allard,MONTMORENCY,Île-de-France
male,Fortun,V,Grignon,VALLAURIS,Provence-Alpes-Côte d'Azur
female,Marphisa,B,Fortin,AMIENS,Picardie
male,Aleron,H,Thériault,PARIS,Île-de-France
female,Jolie,J,Tanguay,FORBACH,Lorraine
male,Tristan,R,Desjardins,BRIVE-LA-GAILLARDE,Limousin
female,Sophie,G,Bienvenue,VANDOEUVRE-LÈS-NANCY,Lorraine
female,Agathe,A,Charrette,LAMBERSART,Nord-Pas-de-Calais
male,Evrard,P,Margand,MARSEILLE,Provence-Alpes-Côte d'Azur
female,Galatee,G,Sarrazin,BIARRITZ,Aquitaine
male,Donatien,J,Corbeil,DENAIN,Nord-Pas-de-Calais
male,Wyatt,M,Bisaillon,VESOUL,Franche-Comté
male,Zacharie,L,Proulx,SOTTEVILLE-LÈS-ROUEN,Haute-Normandie
male,Marlon,C,Duffet,BOBIGNY,Île-de-France
female,Olivie,B,Fluet,VILLEPARISIS,Île-de-France
male,Artus,V,Charpentier,CONFLANS-SAINTE-HONORINE,Île-de-France
male,Thibaut,F,Plouffe,DAX,Aquitaine
