Gender,GivenName,MiddleInitial,Surname,City,State
male,Pentele,A,Várady,Tiszatelek,Szabolcs-Szatmár-Bereg
female,Katalin,K,Petö,Kapuvár,Gy?r-Moson-Sopron
male,Ompoly,B,Rigó,Mezôkövesd,Borsod-Abaúj-Zemplén
male,Arpad,D,Donka,Tiszakarád,Borsod-Abaúj-Zemplén
male,Istvan,B,Bagy,Nagycsere,
male,Zoltán,E,Göröncsér,Susa,
male,Zétény,K,Pálfi,Tiszaalpár,Bács-Kiskun
male,Dacso,V,Szöts,Kislippó,Baranya
male,Frigyes,Á,Gyôry,Borsodnádasd,Borsod-Abaúj-Zemplén
female,Patrícia,T,Pálfy,Lövô,Gy?r-Moson-Sopron
female,Edina,O,Márton,Ebergôc,Gy?r-Moson-Sopron
male,Vayk,I,Galambos,Fülöpjakab,Bács-Kiskun
male,Szalók,J,Szöllôs,Nagylók,Fejér
female,Erzsok,S,Lendvay,Szeged,Csongrád
male,Sebes,N,Fejes,Kiscséripuszta,
male,Odon,D,Kaszás,Ivád,Heves
male,Margo,V,Takáts,Sajóvámos,Borsod-Abaúj-Zemplén
male,Pentele,A,Schulteisz,Köveskál,Veszprém
female,Evelin,K,Lévai,Hejôpapi,Borsod-Abaúj-Zemplén
male,Margo,L,Virág,Pér,Gy?r-Moson-Sopron
male,Kadosa,G,Thuri,Nagykopáncs,
male,Patony,D,Sárközi,Alsógöd,Pest
male,Sebes,F,Makay,Berzence,Somogy
male,Laborc,C,Szôlôsi,Megyaszó,Borsod-Abaúj-Zemplén
male,Miklós,D,Mátyás,Ózd,Borsod-Abaúj-Zemplén
male,Olivér,A,Sallay,Kerepestarcsa,
male,Tihamér,E,Pálffi,Karancsberény,Nógrád
male,Kende,B,Kelemen,Noszlop,Veszprém
male,Szalók,D,Erdôs,Nôtincs,Nógrád
male,Peterke,A,Kurutz,Barcs,Somogy
male,Gyala,V,Kovács,Lasztonya,Zala
male,Márió,V,Gyenis,Darnózseli,Gy?r-Moson-Sopron
male,Róbert,E,Seress,Kunszállás,Bács-Kiskun
male,Tomaj,V,Baán,Gyôrújfalu,Gy?r-Moson-Sopron
male,Markos,S,Kathona,Borota,Bács-Kiskun
male,Adrián,F,Cseh,Andornaktálya,Heves
male,Jozsi,C,Kuncz,Fertôd,Gy?r-Moson-Sopron
male,Aba,P,Szõke,Siklósnagyfalu,Baranya
male,Ervin,B,Bognár,Téglás,Hajdú-Bihar
male,Fulop,H,Szigethi,Zalaszentbalázs,Zala
male,Barnabás,M,Mezei,Szirma,
female,Henrietta,G,Schmitt,Marcali,Somogy
male,Rendor,R,Saári,Tiszabercsel,
male,Regx,T,Szûcs,Tékes,Baranya
male,Szilárd,M,Herman,Ónod,Borsod-Abaúj-Zemplén
male,Szescx,D,Bencsik,Rinyaújlak,Somogy
male,Karsa,T,Szalai,Vékény,Baranya
male,Kellman,R,Antal,Gombosszeg,Zala
male,Kada,Z,Baranyay,Komádi,Hajdú-Bihar
male,Domonkos,V,Zarka,Nágocs,Somogy
male,Kont,B,Kollár,Hajdúhadház,Hajdú-Bihar
male,Lajos,Á,Bencik,Tass,Bács-Kiskun
female,Petra,K,Bence,Bakonygyirót,Gy?r-Moson-Sopron
female,Bernadett,D,Vargha,Felsônána,Tolna
male,Fredek,L,Takáts,Kajászó,Fejér
male,Kevin,B,Tarr,Belecska,Tolna
male,Ladomér,E,Kováts,Budapest,Budapest
male,Pista,V,Smitt,Pécel,Pest
female,Juliska,O,Szôlôsy,Pamlény,Borsod-Abaúj-Zemplén
male,Zsolt,A,Szôllôssi,Alsórajk,Zala
male,Markus,B,Boda,Tiszavasvári,Szabolcs-Szatmár-Bereg
male,Ladomér,I,Söröss,Gyoma,
male,Megyer,E,Torma,Lillafüred,
female,Duci,S,Kovách,Budapest,Budapest
male,Regx,E,Kuruc,Köveskál,Veszprém
male,Renátó,B,Gombos,Ambrózfalva,Csongrád
male,János,K,Gyenes,Csongrád,Csongrád
male,Noel,A,Vida,Gyôr,Gy?r-Moson-Sopron
male,Kund,E,Herceg,Kisújbánya,Baranya
female,Marika,J,Szegedi,Selyeb,Borsod-Abaúj-Zemplén
male,Zsombor,E,Baranyi,Sajókápolna,Borsod-Abaúj-Zemplén
male,Radomér,B,Rác,Jászalsószentgyörgy,Jász-Nagykun-Szolnok
male,Jozsef,Z,Benczik,Felsôszenterzsébet,Zala
male,Zámor,L,Rác,Miskolc,Borsod-Abaúj-Zemplén
male,Laborc,F,Gyarmati,Bátonyterenye,Nógrád
female,Natália,T,Kultsár,Tiszakürt,Jász-Nagykun-Szolnok
male,Renátó,G,Szûcs,Tömörkény,Csongrád
male,Gazsi,A,Sághy,Budapest,Budapest
male,Gerzson,V,Berecz,Kisterenye,
male,Bodi,K,Lörinc,Sajóhidvég,Borsod-Abaúj-Zemplén
female,Viva,A,Tóth,Patca,Somogy
female,Nikolett,L,Német,Semjén,Borsod-Abaúj-Zemplén
female,Duci,P,Gölöncsér,Szálka,Tolna
male,Gyala,J,Mészáros,Mezôcsokonya,Somogy
female,Krisztina,V,Baranyay,Jákó,Somogy
female,Szilvia,M,Thimár,Fülöp,Hajdú-Bihar
male,Mihály,F,Asztalos,Zalavég,Zala
male,Károly,A,Lengyel,Ágasegyháza,Bács-Kiskun
male,Keve,E,Rátz,Mád,Borsod-Abaúj-Zemplén
male,Adojan,M,Vass,Nyársapát,Pest
male,Egyed,A,Kováts,Döge,Szabolcs-Szatmár-Bereg
female,Nusa,K,Szôlôsi,Nemeske,Baranya
male,Gazsi,R,Sánta,Csabacsüd,Békés
male,Kellman,R,Herczegh,Egyek,Hajdú-Bihar
male,Tamás,H,Sághi,Maglód,Pest
female,Linka,F,Erdôs,Mindszentgodisa,Baranya
male,Lorencz,F,Benkö,Kisszekeres,Szabolcs-Szatmár-Bereg
female,Anci,P,Hoffman,Külsôvat,Veszprém
male,Gyula,D,Tarr,Szeged,Csongrád
male,Bendegúz,D,Ambrus,Komló,Baranya
male,Krisztofer,B,Simka,Sátoraljaújhely,Borsod-Abaúj-Zemplén
female,Orzsebet,L,Szalai,Érpatak,Szabolcs-Szatmár-Bereg
male,Vilmos,R,Szûts,Tarnaszentmiklós,Heves
female,Jolan,O,Sultisz,Sajólád,Borsod-Abaúj-Zemplén
male,Marcell,E,Gyarmati,Füzérkomlós,Borsod-Abaúj-Zemplén
female,Agi,B,Kardos,Budapest,Budapest
female,Kat,O,Csordás,Nemti,Nógrád
female,Veronika,J,Gera,Nagykozár,Baranya
male,Keve,F,Csapó,Szeged,Csongrád
female,Dorottya,O,Majoros,Gyôr,Gy?r-Moson-Sopron
male,Oszlár,C,Szücs,Göd,Pest
female,Teca,P,Lázár,Ózd,Borsod-Abaúj-Zemplén
male,Poldi,E,Donka,Varsád,Tolna
female,Barbara,B,Tolnai,Nagypród,
male,András,P,Bán,Tótszentmárton,Zala
female,Kinga,L,Pataky,Nagyszekeres,Szabolcs-Szatmár-Bereg
male,Radomér,D,Meyer,Letkés,Pest
female,Emma,R,Mezey,Pánd,Pest
male,Sandor,T,Schmid,Csömend,Somogy
female,Bela,M,Szôlôssi,Paloznak,Veszprém
male,Mátyás,B,Csordás,Pócsmegyer,Pest
female,Fanni,J,Kállay,Und,Gy?r-Moson-Sopron
female,Szilvia,E,Nemes,Bágyogszovát,Gy?r-Moson-Sopron
male,Norbert,S,Novák,Újsolt,Bács-Kiskun
male,Gyala,I,László,Neszmély,Komárom-Esztergom
male,Ubul,I,Forgáts,Gyulavári,
female,Erzebet,R,Gyôrfy,Miskolc,Borsod-Abaúj-Zemplén
male,Szabolcs,A,Danko,Bakonytamási,Veszprém
male,Robi,M,Sebôk,Fürged,Tolna
male,Ugor,Z,Herczeg,Öttömös,Csongrád
male,Gabor,A,Bogdán,Esztár,Hajdú-Bihar
male,Vitéz,Z,Gyôrfi,Valkonya,Zala
female,Nikoletta,P,Baranyi,Bercel,Nógrád
male,Deco,E,Koncz,Magyarcsanád,Csongrád
male,Mátyás,S,Lörinc,Gyálarét,
male,Zádor,S,Bernáth,Tarnabod,Heves
female,Tamara,B,Kováts,Rinyakovácsi,Somogy
male,Szevér,G,Söröss,Újkenéz,Szabolcs-Szatmár-Bereg
female,Aurelia,K,Szôllôssi,Nagyváty,Baranya
male,Csaba,F,Böröcz,Kápolnásnyék,Fejér
female,Teca,D,Sári,Nyírbéltek,Szabolcs-Szatmár-Bereg
male,Istvan,H,Bartha,Csörnyeföld,Zala
male,Mozes,J,Balla,Teresztenye,Borsod-Abaúj-Zemplén
male,Titusz,S,Ferenczi,Drágszél,Bács-Kiskun
female,Kitti,S,Pap,Bagamér,Hajdú-Bihar
female,Gabriella,K,Kollár,Vámosújfalu,Borsod-Abaúj-Zemplén
male,Péter,E,Ambrus,Öreglak,Somogy
male,Denes,Z,Fenyvesi,Megyer,Veszprém
male,Piusz,D,Pálffi,Somlószôlôs,Veszprém
male,Rajmund,I,Thuri,Somogyzsitfa,Somogy
male,Domokos,A,Vass,Iszkaszentgyörgy,Fejér
male,Adelbert,A,Danko,Sárhida,Zala
male,Poldi,K,Lovász,Hódoscsépány,
male,Tihamér,P,Szathmári,Tornabarakony,Borsod-Abaúj-Zemplén
male,Kolos,T,Sebeök,Gógánfa,Veszprém
male,Aba,Z,Lovas,Szeged,Csongrád
male,Bence,F,Földes,Kisbajcs,Gy?r-Moson-Sopron
male,Samuka,Z,Ujváry,Pécs,Baranya
male,Kevin,B,Taar,Kútfej,
male,Bence,B,Szathmári,Veszprémvarsány,Gy?r-Moson-Sopron
male,Pisti,D,Smitt,Budapest,Budapest
female,Tünde,B,Sági,Besenyszög,Jász-Nagykun-Szolnok
male,Domonkos,A,Weress,Nagytarcsa,Pest
female,Erzebet,T,Havasy,Lulla,Somogy
male,Kevin,S,Hoffman,Csabdi,Fejér
male,Orbán,G,Benkö,Szécsényfelfalu,Nógrád
male,Szilveszter,D,Gelencsér,Tápiószecsô,Pest
male,Dávid,P,Tot,Kerepestarcsa,
female,Kíra,Z,Simon,Királd,Borsod-Abaúj-Zemplén
male,Vince,J,Mihály,Gyermely,Komárom-Esztergom
male,Olivér,L,Kelemen,Majs,Baranya
male,Szalók,N,Csapó,Szabolcs,Szabolcs-Szatmár-Bereg
male,Neci,K,Torma,Alsópetény,Nógrád
female,Liza,S,Bakos,Ságújfalu,Nógrád
female,Szonja,V,Szél,Ötvös,
male,Antal,B,Koncz,Tótkomlós,Békés
male,Imre,F,Szôllôssy,Nyírtét,Szabolcs-Szatmár-Bereg
female,Irenke,M,Katona,Csitár,Nógrád
male,Milán,S,Fenyvesi,Kulcs,Fejér
male,Bálint,E,Puskás,Tiszaszentimre,Jász-Nagykun-Szolnok
male,Mozes,F,Tarr,Heresznye,Somogy
male,Balázs,Z,Sántha,Kisnyárád,Baranya
male,Megyer,N,Gyôri,Sóstóhegy,
male,Cseke,Z,Sultis,Baracska,Fejér
