Gender,GivenName,MiddleInitial,Surname,City,State
male,Kristvin,G,Sigurjónsson,Norðurfjörður,
male,Andrés,D,Guðbjarnarson,Súðavík,
male,Sæmundur,J,Oddbergsson,Þórshöfn,
female,Ilmur,A,Ingveldardóttir,Garður,
male,Böðvar,M,Ósvaldsson,Seltjarnarnes,
male,Birgir,U,Thordarson,Hvolsföllur,
female,Ólína,E,Guðnadóttir,Reykjavík,
female,Magnea,M,Mínervudóttir,Blönduós,
female,Gunnlaug,Á,Eyðfinnsdóttir,Þingeyri,
female,Ísfold,V,Tryggvadóttir,Fagurhólsmýri,
male,Njörður,E,Halldórsson,Höfn,
male,Viðar,A,Guðgeirsson,Reykjavík,
female,Vigdís,G,Karlsdóttir,Reykjavík,
male,Haddur,M,Jónbjörnsson,Hólmavík,
male,Steingrímur,M,Júlíusson,Borgarfjörður,
female,Þuríður,S,Guðgeirsdóttir,Bakkafjörður,
female,Maríanna,Þ,Gunnlaugsdóttir,Reykjavík,
male,Óskar,S,Steinþórsson,Hvolsföllur,
female,Ása,S,Baldvinsdóttir,Hella,
female,Emilía,B,Óðinsdóttir,Patreksfjörður,
female,Gréta,A,Jóakimsdóttir,Reykjavík,
female,Fjóla,S,Örlygsdóttir,Vopnafjörður,
female,Oddbjörg,H,Gylfadóttir,Hofsós,
male,Sigurkarl,R,Antonsson,Akureyri,
male,Benjamín,D,Vernharðsson,Þingeyri,
male,Valur,R,Hólmsteinsson,Varmahlíð,
male,Hákon,G,Hansson,Breiðdalsvík,
female,Fanney,K,Skúladóttir,Mjóifjörður,
male,Danival,S,Guðleifsson,Garðabær,
female,Laufey,S,Sverrisdóttir,Ólafsfjörður,
male,Unnsteinn,S,Hervinsson,Djúpivogur,
female,Lydia,S,Hallmundsdóttir,Blönduós,
male,Brynjar,I,Heiðarsson,Sauðarkrókur,
female,Petra,G,Ingólfsdóttir,Grindavík,
male,Víðir,L,Sigurhansson,Reykjavík,
female,Maggý,A,Eggertsdóttir,Akureyri,
male,Kalman,S,Sigfússon,Brú,
male,Erlendur,E,Gústafsson,Kópavogur,
male,Oddur,Ó,Traustason,Hvammstangi,
female,Guðmundína,E,Indriðadóttir,Reykjavík,
male,Svanbjörn,F,Hermannsson,Dalvík,
female,Alexandra,A,Kristinsdóttir,Stöðvarfjörður,
male,Þórðr,S,Gissurarson,Seltjarnarnes,
male,Hrafnkell,L,Þrastarson,Reykjavík,
female,Tinna,A,Valtýsdóttir,Selfoss,
male,Ísak,F,Ottósson,Garður,
male,Rhoda,H,Þóroddsson,Patreksfjörður,
female,Heiða,E,Indriðadóttir,Ísafjörður,
female,Rósey,A,Sigurjónsdóttir,Reykjavík,
female,Eyþóra,Á,Hrafnkelsdóttir,Raufarhöfn,
female,Salvör,V,Skarphéðinsdóttir,Kópasker,
female,Hrund,V,Kristjánsdóttir,Sauðarkrókur,
female,Hansína,H,Helgadóttir,Blönduós,
male,Úlfar,G,Annýjarson,Akureyri,
female,Sæunn,N,Gunnlaugsdóttir,Selfoss,
male,Vernharður,Þ,Guðmarsson,Króksfjarðarnes,
female,Svanhildur,Ú,Sigvaldadóttir,Egilsstaðir,
male,Jóhannes,F,Þorfinnsson,Blönduós,
female,Unnur,S,Einarsdóttir,Patreksfjörður,
male,Friðberg,H,Víðisson,Reykjavík,
male,Lárus,E,Bjargmundsson,Reykjavík,
female,Sæbjörg,M,Böðvarsdóttir,Þórshöfn,
male,Hafsteinn,E,Þórhallsson,Reykjavík,
female,Þorgerður,A,Vigfúsdóttir,Fljót,
female,Árnína,E,Áskelsdóttir,Hellissandur,
male,Marteinn,A,Þorgeirsson,Ísafjörður,
male,Sighvatur,O,Baldvinsson,Reykjavík,
male,Dagfinnur,K,Baldvinsson,Garðabær,
male,Samúel,Ó,Þórlaugarson,Suðureyri,
male,Jónatan,E,Bachmann,Vestmannaeyjar,
male,Ásgeir,E,Viktorsson,Borgarfjörður,
male,Eiður,S,Engilbertsson,Flateyri,
male,Davíð,K,Eggertsson,Reykjavík,
male,Valþór,G,Sigfinnsson,Selfoss,
male,Marko,S,Guðbjarnarson,Hvammstangi,
male,Sighvatr,H,Alfreðsson,Selfoss,
male,Baldvin,K,Arnbjarnarson,Reykjavík,
male,Steingrímur,H,Klemenzson,Sauðarkrókur,
male,Auðunn,E,Valdimarsson,Kópasker,
male,Sigmundur,K,Jósefsson,Kjörvogur,
male,Aðalgeir,I,Alfonsson,Vík,
female,Jónína,D,Ragnarsdóttir,Keflavíkurflugvöllur,
male,Haukur,H,Jörgensen,Akureyri,
male,Stefanía,G,Grétarsson,Kjörvogur,
