Gender,GivenName,MiddleInitial,Surname,City,State
male,Adalrico,L,Udinesi,Castel Goffredo,MN
male,Bartolomeo,B,Mazzanti,Pagliara Dei Marsi,AQ
male,Raniero,N,Esposito,Gorla Maggiore,VA
male,Tullio,E,Manfrin,Francavilla Al Mare Rione Foro,CH
male,Basilio,B,Cocci,Ostia Antica,RM
male,Bellino,L,Milano,Belvedere Delle Langhe,CN
male,Eros,N,Costa,Poggio Filippo,AQ
male,Beniamino,E,Cocci,Pietraviva,AR
male,Beato,F,Moretti,Garlasco,PV
female,Fabiola,Q,Bellucci,Nave San Rocco,TN
female,Gianna,V,Napolitano,Braies,BZ
female,Giacinta,G,Pugliesi,Chiusa Sclafani,PA
female,Nella,L,Trevisano,Ischia,AP
male,Abramo,V,Genovese,Miano,TE
male,Donato,G,Manna,Angoli,CZ
male,Ivo,M,Napolitano,Polenta,FO
male,Valentino,P,Pisani,Ripalta Arpina,CR
male,Cino,C,Napolitani,Cassola,VI
male,Galdino,C,Udinesi,Ricco,PR
male,Ezio,G,Toscani,Surdo,CS
male,Fantino,E,Piccio,San Marcello Pistoiese,PT
male,Catone,M,Ricci,Rivello,PZ
male,Beniamino,A,Marino,Roma,RM
female,Vanna,L,Moretti,Cremeno,LC
male,Fedele,L,Milanesi,Poggio Umbricchio,TE
male,Alberto,R,Romani,Archi,RC
female,Claudia,A,Bianchi,San Giuseppe Di Comacchio,FE
female,Debora,A,Castiglione,La Storta,RM
male,Simone,T,Greece,Strambino,TO
female,Lorena,R,Napolitano,Rivoli Veronese,VR
female,Quintina,A,Ricci,Roncaro,PV
male,Vladimiro,G,Monaldo,Thiesi,SS
female,Libera,B,Lorenzo,Quarto,NA
male,Amedeo,C,Marino,Santa Maria Imbaro,CH
male,Nunzio,G,Romani,Campeglio,UD
male,Romano,E,Trevisani,Pascomonti,CN
female,Rosalia,G,Trevisano,Carovilli,IS
male,Oliviero,A,Rizzo,Marentino,TO
female,Domenica,A,Pinto,Ciano Nel Frignano,MO
male,Giacinto,N,Fiorentino,Villa Adriana,RM
female,Dalia,I,Monaldo,Mercogliano,AV
male,Benvenuto,D,Lucciano,Barriera Del Bosco,CT
male,Elia,C,Li Fonti,Perosa Argentina,TO
male,Furio,M,Sal,Montagano,CB
male,Arnaldo,R,Fallaci,Cerbara,PG
male,Ariosto,R,Davide,San Giorgio Di Lomellina,PV
female,Ave,B,Bruno,Stintino,SS
male,Bernardo,R,Longo,Corese Terra,RI
female,Alma,I,Fallaci,Bagnolo,GR
male,Olindo,E,Marino,Uggiano Montefusco,TA
male,Valentino,M,Trentino,Pineto,TE
male,Eustorgio,C,Cremonesi,Montelupone,MC
male,Leone,T,Conti,Passo Di Mirabella,AV
male,Rosarmosario,E,Beneventi,Casalini,BR
male,Prospero,G,Trentini,Agrigento,AG
female,Crispina,O,Trentini,Andorno Micca,BI
male,Ciro,I,Boni,Torino,TO
male,Claudio,A,Trevisano,San Damiano Al Colle,PV
male,Abelardo,C,Dellucci,Panaia,VV
male,Brancaleone,L,Trevisano,Dosso Del Liro,CO
female,Paola,P,Loggia,Zelo,RO
male,Luca,B,Lucciano,Francavilla Marittima,CS
female,Edda ,A,Lucchese,Cerasi,RC
male,Alcide,D,Nucci,Giano Vetusto,CE
female,Fabiola,S,Cocci,Bellante,TE
male,Abelardo,A,Romano,Chieti,CH
female,Algisa,L,Lucchese,Torsa Di Pocenia,UD
female,Novella,L,Marcelo,San Roberto,RC
male,Tolomeo,A,Rossi,Villa Saviola,MN
male,Amaranto,N,Napolitani,Migliandolo,AT
male,Cristoforo,C,Bruno,Cossombrato,AT
male,Algiso,F,Manna,Rocca San Felice,AV
female,Elena,N,Lettiere,Badia Di Cava De Tirreni,SA
male,Tranquillino,T,Giordano,Marini,SA
female,Viviana,N,Lorenzo,Gambasca,CN
